session_id,timestamp,latitude,longitude,surface,confidence
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:41:21.297207+08:00,10.3449654,123.8170641,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:41:29.296973+08:00,10.3450843,123.8170640,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:41:37.292494+08:00,10.3451417,123.8170771,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:42:16.294014+08:00,10.3452754,123.8172678,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:42:33.292332+08:00,10.3453804,123.8173551,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:44:08.315127+08:00,10.3458501,123.8179095,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:44:18.311162+08:00,10.3458661,123.8179558,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:48:11.306009+08:00,10.3457875,123.8180595,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:53:26.298338+08:00,10.3465207,123.8194983,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:54:36.292662+08:00,10.3468666,123.8198723,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:54:46.297233+08:00,10.3468895,123.8199766,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:58:45.307748+08:00,10.3481029,123.8216399,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:58:54.291761+08:00,10.3481158,123.8217883,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:59:10.299131+08:00,10.3482770,123.8218256,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:59:18.298801+08:00,10.3482823,123.8218345,UNPAVED,0.50
